"","bathrm","hf_bathrm","heat","ac","rooms","bedrm","ayb","yr_rmdl","eyb","stories","saledate","price","gba","style","grade","extwall","kitchens","fireplaces","landarea"
"41",2,1,"Warm Cool","Y",6,3,1955,NA,1955,2,"2000-10-27 00:00:00",166400,1310,"2 Story","Average","Common Brick",1,1,4200
"42",1,2,"Forced Air","N",7,3,1948,NA,1958,2,"1999-07-16 00:00:00",167400,1350,"2 Story","Average","Common Brick",1,1,5550
"43",1,0,"Warm Cool","Y",5,3,1950,NA,1950,1.5,"1994-06-17 00:00:00",127400,1221,"1.5 Story Fin","Average","Common Brick",1,1,5482
"44",3,0,"Forced Air","Y",9,4,1951,2014,1970,1,"2015-02-19 00:00:00",555800,1344,"1 Story","Average","Common Brick",1,1,5326
"45",1,0,"Forced Air","Y",7,3,1948,NA,1958,2,"1998-12-03 00:00:00",127100,1568,"2 Story","Average","Common Brick",1,1,5216
"46",1,1,"Forced Air","Y",7,4,1905,NA,1967,2.25,"2018-06-19 00:00:00",823100,2675,"2 Story","Above Average","Vinyl Siding",1,2,6342
"47",2,0,"Forced Air","Y",7,3,1947,NA,1967,2,"2005-09-29 00:00:00",376900,1232,"2 Story","Average","Common Brick",1,1,3400
"48",1,1,"Forced Air","Y",7,3,1947,NA,1957,2,"2015-07-01 00:00:00",420200,1232,"2 Story","Average","Common Brick",1,1,3400
"49",2,0,"Warm Cool","Y",6,3,1922,2007,1964,1,"2018-04-23 00:00:00",690800,926,"1 Story","Average","Vinyl Siding",1,0,5265
"50",2,1,"Warm Cool","Y",7,3,1960,NA,1976,1,"2003-11-07 00:00:00",230500,1209,"1 Story","Average","Common Brick",1,0,4500
"51",3,1,"Forced Air","Y",9,4,2015,NA,2016,NA,"2017-01-03 00:00:00",706900,2182,"2 Story","Above Average","Brick/Siding",1,0,3018
"52",3,1,"Forced Air","Y",8,4,2010,NA,2012,2,"2011-04-20 00:00:00",361800,1984,"2 Story","Average","Brick/Siding",1,0,3005
"53",3,1,"Hot Water Rad","N",6,3,1931,NA,1957,2,"2001-05-22 00:00:00",226100,1426,"2 Story","Above Average","Common Brick",1,1,5080
"54",2,1,"Warm Cool","Y",7,3,1964,NA,1964,1,"1992-08-07 00:00:00",154900,1271,"1 Story","Average","Common Brick",1,0,5310
"55",2,1,"Forced Air","Y",7,3,1964,NA,1979,1,"2004-09-07 00:00:00",309100,1247,"1 Story","Average","Common Brick",1,0,5014
"56",1,0,"Forced Air","Y",7,3,1947,2002,1967,2,"2004-03-11 00:00:00",261600,1080,"2 Story","Average","Common Brick",1,1,3837
"57",2,1,"Warm Cool","Y",7,3,1947,NA,1957,2,"2015-03-17 00:00:00",342500,1331,"2 Story","Average","Common Brick",1,1,3200
"58",1,1,"Warm Cool","Y",6,3,1948,NA,1968,2,"2015-08-24 00:00:00",390500,1120,"2 Story","Average","Common Brick",1,1,2175
"59",1,1,"Forced Air","N",6,3,1948,NA,1948,2,"2008-05-13 00:00:00",301100,1120,"2 Story","Average","Common Brick",1,1,2175
"60",1,2,"Warm Cool","Y",6,3,1949,NA,1959,2,"2015-03-02 00:00:00",361100,1248,"2 Story","Average","Common Brick",1,0,2835
"61",1,1,"Forced Air","N",6,3,1945,NA,1945,2,"2000-07-20 00:00:00",142000,1248,"2 Story","Average","Common Brick",1,0,2835
"62",1,1,"Forced Air","Y",6,3,1949,2012,1968,2,"2012-03-22 00:00:00",305300,1248,"2 Story","Average","Common Brick",1,0,2363
"63",3,0,"Forced Air","Y",6,3,1931,2008,1969,2,"2008-09-11 00:00:00",509100,1322,"2 Story","Good Quality","Common Brick",1,1,4388
"64",3,0,"Warm Cool","Y",6,3,1958,2014,1975,1,"2014-07-03 00:00:00",405000,1180,"1 Story","Average","Common Brick",1,0,4991
"65",3,1,"Hot Water Rad","Y",10,4,1929,2016,1967,2,"2016-05-20 00:00:00",775000,2039,"2 Story","Above Average","Common Brick",1,1,3191
"66",1,0,"Hot Water Rad","N",6,3,1918,2006,1964,2,"2016-04-18 00:00:00",489300,1564,"2 Story","Average","Brick/Siding",1,0,5405
"67",2,1,"Warm Cool","Y",7,3,1947,NA,1957,2,"1997-11-07 00:00:00",137700,1331,"2 Story","Average","Common Brick",1,1,2400
"68",1,1,"Warm Cool","Y",8,3,1952,NA,1962,2,"2009-11-25 00:00:00",284800,1300,"2 Story","Average","Common Brick",1,1,2440
"69",1,1,"Forced Air","N",7,3,1939,NA,1954,2,"2013-10-23 00:00:00",451800,1255,"2 Story","Average","Common Brick",1,1,4379
"70",2,0,"Hot Water Rad","N",7,4,1918,NA,1954,1.25,"2018-06-22 00:00:00",534000,1365,"1.5 Story Fin","Average","Shingle",1,1,4950
"71",1,1,"Hot Water Rad","N",6,3,1917,2004,1954,2,"2007-05-18 00:00:00",365500,1234,"2 Story","Average","Vinyl Siding",1,0,5500
"72",3,0,"Forced Air","Y",9,6,1917,2014,1964,1.5,"2014-08-26 00:00:00",646300,1707,"1.5 Story Fin","Average","Vinyl Siding",1,0,5500
"73",1,2,"Hot Water Rad","N",8,3,1917,NA,1954,2,"1998-04-02 00:00:00",119800,1709,"1.5 Story Fin","Average","Wood Siding",1,1,6269
"74",4,0,"Forced Air","Y",7,5,1916,2011,1967,1.5,"2011-11-29 00:00:00",467200,1467,"1.5 Story Fin","Above Average","Vinyl Siding",1,1,3856
"75",2,2,"Warm Cool","Y",7,4,1948,NA,1958,2,"2008-02-14 00:00:00",362200,1500,"2 Story","Average","Common Brick",1,2,2625
"76",2,1,"Forced Air","N",8,5,1958,2016,1975,1,"2017-02-09 00:00:00",504500,968,"1 Story","Average","Wood Siding",1,0,3150
"77",1,0,"Forced Air","Y",6,2,1938,NA,1954,1.5,"2014-01-16 00:00:00",345000,870,"1.5 Story Fin","Average","Common Brick",1,1,6728
"78",2,0,"Warm Cool","Y",6,3,1952,NA,1962,1,"1992-03-27 00:00:00",126100,1008,"1 Story","Average","Common Brick",1,1,3546
"79",1,1,"Forced Air","Y",6,3,1955,NA,1964,2,"2008-01-07 00:00:00",367300,1352,"2 Story","Average","Common Brick",1,1,3469
"80",2,0,"Warm Cool","Y",6,2,1958,NA,1975,1,"2004-12-15 00:00:00",276300,1311,"1 Story","Average","Common Brick",1,0,4163
"81",2,0,"Forced Air","Y",6,3,1948,NA,1958,2,"2016-11-28 00:00:00",440500,1216,"2 Story","Average","Common Brick",1,1,2250
"82",1,1,"Forced Air","N",7,3,1950,NA,1960,2,"2018-07-12 00:00:00",527700,1461,"2 Story","Average","Common Brick",1,1,6300
"83",1,1,"Forced Air","Y",7,3,1954,2011,1972,1,"2012-04-24 00:00:00",278600,1050,"1 Story","Average","Common Brick",1,1,5298
"84",2,0,"Warm Cool","Y",6,3,1948,2005,1968,2,"2014-06-19 00:00:00",370600,1252,"2 Story","Average","Common Brick",1,0,2700
"85",1,1,"Warm Cool","Y",6,3,1952,NA,1952,2,"2000-07-07 00:00:00",131800,1200,"2 Story","Average","Common Brick",1,0,2700
"86",1,2,"Warm Cool","Y",7,3,1957,NA,1966,2,"2008-07-25 00:00:00",319500,1176,"2 Story","Average","Common Brick",1,1,4100
"87",1,1,"Forced Air","Y",6,3,1948,2004,1968,2,"2005-10-31 00:00:00",355600,1200,"2 Story","Average","Common Brick",1,0,2964
"88",2,1,"Warm Cool","Y",6,4,1954,NA,1972,1,"2007-11-09 00:00:00",381500,1050,"2 Story","Average","Common Brick",1,1,4465
"89",1,1,"Forced Air","N",6,3,1954,NA,1972,1,"2000-11-22 00:00:00",147100,1358,"1 Story","Average","Common Brick",1,1,6325
"90",2,0,"Forced Air","Y",7,4,1954,2015,1972,1,"2014-06-25 00:00:00",404700,2100,"1 Story","Average","Common Brick",1,1,4976
"91",1,0,"Forced Air","N",5,2,1954,NA,1954,1,"2005-12-28 00:00:00",334100,1050,"1 Story","Average","Common Brick",1,1,4976
"92",2,0,"Hot Water Rad","Y",6,3,1928,NA,1957,2,"2014-12-10 00:00:00",592800,1272,"2 Story","Above Average","Aluminum",1,1,5000
"93",3,1,"Hot Water Rad","Y",7,5,1913,2014,1969,2.5,"2016-04-20 00:00:00",831400,2176,"2.5 Story Fin","Good Quality","Stucco",1,0,7500
"94",2,1,"Forced Air","Y",8,4,2012,NA,2014,2.5,"2007-01-24 00:00:00",189400,2805,"2.5 Story Unfin","Above Average","Wood Siding",1,0,6210
"95",1,0,"Hot Water Rad","N",6,3,1913,2013,1967,2,"2013-07-18 00:00:00",468500,1308,"2 Story","Above Average","Vinyl Siding",1,0,4587
"96",2,1,"Forced Air","Y",7,4,1917,2005,1967,2.5,"2016-12-22 00:00:00",651600,1622,"2.5 Story Fin","Above Average","Vinyl Siding",1,1,2000
"97",3,1,"Forced Air","Y",8,4,1917,2013,1967,2.5,"2018-01-09 00:00:00",683900,1622,"2.5 Story Fin","Above Average","Vinyl Siding",2,0,2000
"98",2,1,"Forced Air","Y",7,3,1920,2012,1964,2,"2012-03-07 00:00:00",478600,1994,"2 Story","Average","Vinyl Siding",1,1,5782
"99",2,0,"Forced Air","Y",7,3,1924,2014,1967,1.5,"2015-03-10 00:00:00",804800,1523,"1.5 Story Fin","Above Average","Vinyl Siding",1,1,6750
"100",3,0,"Forced Air","Y",9,4,1938,2008,1969,2.5,"2017-07-20 00:00:00",716000,1540,"2.5 Story Fin","Good Quality","Common Brick",1,1,4460
"101",3,0,"Hot Water Rad","Y",10,5,1936,2014,1969,2,"2016-08-17 00:00:00",657500,1404,"2 Story","Good Quality","Common Brick",1,1,6000
"102",1,1,"Hot Water Rad","N",7,4,1910,NA,1957,2,"2007-04-19 00:00:00",456300,1798,"2 Story","Above Average","Vinyl Siding",1,1,5000
"103",1,2,"Hot Water Rad","N",6,3,1905,NA,1957,2.5,"2003-07-14 00:00:00",297900,1436,"2.5 Story Unfin","Above Average","Vinyl Siding",1,2,7500
"104",1,0,"Hot Water Rad","N",6,3,1909,2000,1947,2,"2000-01-19 00:00:00",119400,1244,"2 Story","Above Average","Vinyl Siding",1,0,7500
"105",2,1,"Forced Air","Y",6,4,1900,2000,1967,2,"2001-10-30 00:00:00",245200,1902,"2 Story","Above Average","Brick/Stucco",1,0,7500
"106",2,1,"Hot Water Rad","Y",8,3,1900,2005,1967,2.5,"2017-09-12 00:00:00",799300,2597,"2.5 Story Fin","Above Average","Vinyl Siding",1,2,7500
"107",3,2,"Forced Air","Y",9,6,2009,NA,2012,2.5,"2014-10-24 00:00:00",841400,2753,"2.5 Story Fin","Above Average","Vinyl Siding",1,0,7500
"108",3,1,"Forced Air","Y",6,3,1922,2011,1964,2,"2011-01-31 00:00:00",450600,1252,"2 Story","Average","Vinyl Siding",1,0,3750
"109",2,1,"Warm Cool","Y",6,3,1900,2004,1967,2,"2017-08-14 00:00:00",745000,1630,"2 Story","Above Average","Vinyl Siding",1,0,3750
"110",1,1,"Hot Water Rad","N",5,2,1916,NA,1950,1,"2017-08-02 00:00:00",482600,844,"1 Story","Average","Wood Siding",1,1,3367
"111",1,1,"Hot Water Rad","Y",7,2,1917,NA,1964,1.5,"2003-01-23 00:00:00",257100,1568,"1.5 Story Fin","Average","Brick/Siding",1,1,4973
"112",2,1,"Hot Water Rad","N",6,3,1925,NA,1957,2,"2017-04-25 00:00:00",646200,1365,"2 Story","Above Average","Stone/Siding",1,0,5000
"113",1,0,"Forced Air","N",9,4,1900,NA,1954,2,"2007-02-12 00:00:00",429500,1938,"2 Story","Average","Vinyl Siding",1,0,7500
"114",2,0,"Forced Air","Y",7,4,1916,2008,1967,2.5,"2014-05-02 00:00:00",696000,1552,"2.5 Story Fin","Above Average","Vinyl Siding",1,0,4275
"115",2,1,"Hot Water Rad","Y",8,3,1910,2003,1967,2,"2007-01-08 00:00:00",610900,1508,"2 Story","Above Average","Vinyl Siding",1,0,7500
"116",2,0,"Hot Water Rad","Y",9,4,1923,NA,1960,2.5,"2006-05-08 00:00:00",567600,2268,"2.5 Story Fin","Good Quality","Wood Siding",1,1,3400
"117",2,1,"Hot Water Rad","Y",9,5,1921,NA,1967,2,"2007-04-30 00:00:00",525300,1914,"2 Story","Above Average","Common Brick",1,0,7500
"118",2,1,"Hot Water Rad","Y",10,4,1890,2003,1967,2.5,"2017-10-02 00:00:00",838700,2115,"2.5 Story Unfin","Above Average","Stucco Block",1,0,7500
"119",3,0,"Hot Water Rad","N",8,4,1912,2008,1969,2.5,"2008-12-31 00:00:00",640100,3642,"2.5 Story Fin","Good Quality","Vinyl Siding",1,0,7500
"120",2,0,"Hot Water Rad","Y",9,3,1911,NA,1947,2,"2005-11-08 00:00:00",484200,1945,"2 Story","Above Average","Common Brick",1,0,7500
"121",4,1,"Forced Air","Y",9,4,2005,NA,2013,2,"2010-12-09 00:00:00",649100,3680,"2 Story","Very Good","Wood Siding",1,0,7500
"122",2,2,"Hot Water Rad","Y",7,3,1905,2014,1969,2,"2015-03-30 00:00:00",706200,1568,"2 Story","Good Quality","Common Brick",1,1,7500
"123",4,1,"Forced Air","Y",10,4,1918,2006,1964,1.5,"2012-12-07 00:00:00",600600,1670,"1.5 Story Fin","Average","Vinyl Siding",1,1,4912
"124",1,0,"Hot Water Rad","N",8,3,1924,NA,1943,1.5,"2005-02-02 00:00:00",300800,1783,"1.5 Story Fin","Average","Vinyl Siding",1,0,7385
"125",4,1,"Forced Air","Y",8,5,1905,2003,1967,2,"2018-03-23 00:00:00",870900,1307,"2 Story","Above Average","Stucco",1,2,6100
"126",2,1,"Forced Air","Y",8,4,1923,2003,1967,2,"2016-06-27 00:00:00",751300,1740,"2 Story","Above Average","Vinyl Siding",1,0,6113
"127",3,1,"Forced Air","Y",8,4,2007,NA,2010,2,"2007-04-05 00:00:00",619600,2016,"2 Story","Above Average","Wood Siding",1,0,3450
"128",1,1,"Hot Water Rad","N",6,2,1931,NA,1954,1,"2004-09-09 00:00:00",311900,1106,"1 Story","Average","Vinyl Siding",1,0,3341
"129",1,1,"Hot Water Rad","Y",6,3,1925,2012,1967,1.5,"2001-09-07 00:00:00",189400,1427,"1.5 Story Fin","Above Average","Wood Siding",1,1,5000
"130",3,0,"Forced Air","Y",7,4,1965,2013,1982,1,"2014-03-18 00:00:00",505900,1120,"Split Foyer","Above Average","Common Brick",1,0,4920
"131",1,1,"Hot Water Rad","N",6,2,1900,NA,1954,2,"2014-12-08 00:00:00",372700,1206,"2 Story","Average","Stone Veneer",1,0,2457
"132",1,0,"Hot Water Rad","N",6,3,1916,NA,1954,1.25,"2012-11-27 00:00:00",292700,1135,"1 Story","Average","Vinyl Siding",1,0,5932
"133",2,1,"Hot Water Rad","Y",6,3,1900,2004,1969,2.5,"2012-12-03 00:00:00",571500,1934,"2.5 Story Fin","Good Quality","Wood Siding",1,0,7500
"134",2,2,"Warm Cool","Y",7,3,1955,2009,1975,2,"2007-04-17 00:00:00",462800,1488,"2 Story","Above Average","Common Brick",1,1,7500
"135",2,0,"Forced Air","Y",8,4,1922,2009,1967,2.5,"2009-10-29 00:00:00",495200,2463,"2.5 Story Fin","Above Average","Vinyl Siding",1,1,7500
"136",3,1,"Forced Air","Y",8,5,1913,NA,1957,2.5,"2015-08-11 00:00:00",783600,2010,"2.5 Story Fin","Above Average","Stucco",1,1,7500
"137",2,0,"Forced Air","Y",8,4,1940,2011,1967,2,"2010-06-15 00:00:00",416400,1790,"2 Story","Above Average","Wood Siding",1,1,4250
"138",2,1,"Hot Water Rad","N",6,3,1932,NA,1960,2,"2009-10-22 00:00:00",383000,1372,"2 Story","Good Quality","Brick/Siding",1,1,3916
"139",3,1,"Warm Cool","Y",9,3,1940,NA,1960,2,"2016-06-08 00:00:00",722500,2547,"2 Story","Good Quality","Brick/Stone",1,2,10000
"140",3,0,"Hot Water Rad","Y",8,3,1923,2011,1967,2,"2015-02-05 00:00:00",715800,1748,"2 Story","Above Average","Vinyl Siding",1,0,7500
"141",3,1,"Forced Air","Y",8,6,1900,2015,1967,2,"2003-12-22 00:00:00",333200,1873,"2 Story","Above Average","Aluminum",2,2,2550
"142",2,1,"Hot Water Rad","N",9,6,1905,1980,1954,2.5,"2013-06-03 00:00:00",495700,1476,"2.5 Story Fin","Average","Wood Siding",1,1,3750
"143",4,1,"Forced Air","Y",14,5,1921,2016,1967,2.5,"2015-10-01 00:00:00",989500,5129,"2.5 Story Fin","Above Average","Common Brick",1,0,15000
"144",2,0,"Forced Air","Y",7,3,2009,NA,2012,2,"2018-04-03 00:00:00",787800,2055,"2 Story","Above Average","Vinyl Siding",1,1,7500
"145",4,1,"Forced Air","Y",9,5,1918,2015,1967,2.5,"2015-11-24 00:00:00",1012100,2439,"2.5 Story Fin","Above Average","Wood Siding",1,1,7500
"146",2,0,"Hot Water Rad","N",8,5,1920,2011,1967,1.75,"2003-11-25 00:00:00",357300,2052,"2 Story","Above Average","Wood Siding",1,1,7500
"147",4,1,"Hot Water Rad","N",10,6,1919,NA,1950,2.5,"2000-05-15 00:00:00",229200,2945,"2.5 Story Fin","Good Quality","Stucco",1,1,15000
"148",2,1,"Hot Water Rad","Y",7,4,1916,2003,1969,2.5,"2005-05-17 00:00:00",600700,1990,"2.5 Story Fin","Good Quality","Stucco",1,0,7500
"149",1,1,"Hot Water Rad","N",5,2,1906,1954,1964,2,"2017-07-19 00:00:00",558300,1324,"2 Story","Average","Stucco",1,0,7500
"150",3,1,"Forced Air","Y",8,4,1936,2014,1967,2,"2015-06-09 00:00:00",739800,1575,"2 Story","Above Average","Common Brick",1,2,7500
"151",1,0,"Forced Air","Y",5,2,1925,NA,1943,1.5,"2004-09-03 00:00:00",242800,750,"1.5 Story Unfin","Average","Metal Siding",1,0,5164
"152",3,0,"Forced Air","Y",7,4,1915,2011,1967,2,"2012-01-06 00:00:00",467700,1795,"2 Story","Above Average","Vinyl Siding",1,0,2900
"153",1,0,"Hot Water Rad","N",6,3,1923,NA,1964,1.5,"2013-01-25 00:00:00",406200,1183,"1.5 Story Fin","Average","Metal Siding",1,1,5429
"154",2,1,"Forced Air","Y",6,4,1940,2013,1969,2,"2015-11-03 00:00:00",556300,1386,"2 Story","Good Quality","Common Brick",1,1,3203
"155",3,1,"Hot Water Rad","Y",8,4,1917,2007,1967,2.5,"2007-07-20 00:00:00",640400,1918,"2.5 Story Fin","Above Average","Shingle",1,0,5000
"156",1,1,"Hot Water Rad","N",7,3,1918,NA,1957,2.5,"2006-10-06 00:00:00",430700,1930,"2.5 Story Fin","Above Average","Stucco",1,1,5000
"157",2,2,"Forced Air","N",7,3,1951,NA,1966,2,"2015-11-03 00:00:00",680600,2276,"2 Story","Good Quality","Common Brick",1,1,8303
"158",1,0,"Warm Cool","Y",6,3,1922,NA,1943,2,"2006-04-05 00:00:00",349200,962,"1 Story","Average","Shingle",1,0,5750
"159",4,0,"Forced Air","Y",8,5,1957,2015,1978,1.5,"2015-10-19 00:00:00",855800,1836,"1.5 Story Fin","Good Quality","Common Brick",1,2,7500
"160",1,1,"Hot Water Rad","N",6,3,1933,NA,1957,2,"2013-04-22 00:00:00",462300,1260,"2 Story","Above Average","Brick/Siding",1,1,3750
"161",3,0,"Hot Water Rad","N",6,4,1937,NA,1957,1.5,"2003-08-01 00:00:00",340800,1515,"1.5 Story Fin","Above Average","Common Brick",1,1,3750
"162",1,0,"Hot Water Rad","Y",6,2,1929,2005,1964,2,"2017-09-05 00:00:00",599400,1144,"2 Story","Average","Stucco",1,1,3750
"163",3,0,"Hot Water Rad","Y",7,4,1912,2010,1967,2.5,"2010-06-17 00:00:00",546900,1892,"2.5 Story Fin","Above Average","Stucco",1,0,3500
"164",2,1,"Hot Water Rad","Y",7,3,1925,NA,1947,2,"2000-05-16 00:00:00",250200,1593,"2 Story","Above Average","Shingle",1,0,2652
"165",3,0,"Hot Water Rad","Y",8,5,1925,1992,1967,2,"2015-07-29 00:00:00",766700,1768,"2 Story","Above Average","Common Brick",2,1,4470
"166",3,0,"Hot Water Rad","N",9,2,1932,1970,1969,2,"2012-05-16 00:00:00",438300,2259,"2 Story","Good Quality","Brick/Stucco",1,1,6020
"167",1,1,"Hot Water Rad","N",5,2,1938,NA,1967,2,"2000-08-08 00:00:00",151600,1450,"2 Story","Above Average","Common Brick",1,1,7500
"168",1,0,"Hot Water Rad","N",6,3,1939,NA,1947,1.5,"2011-08-25 00:00:00",289300,1170,"1.5 Story Fin","Above Average","Common Brick",1,1,2300
"169",3,0,"Forced Air","Y",7,4,1920,2007,1967,2,"2016-02-26 00:00:00",644700,1456,"2 Story","Above Average","Vinyl Siding",1,1,4064
"170",1,0,"Forced Air","Y",6,3,1900,1995,1954,2,"2018-07-03 00:00:00",576300,1216,"2 Story","Average","Stucco",1,0,8460
"171",2,1,"Hot Water Rad","N",6,3,1905,2009,1967,2,"2012-12-10 00:00:00",535700,1938,"2 Story","Above Average","Common Brick",1,1,7905
"172",1,0,"Forced Air","N",5,2,1910,NA,1954,1,"2002-06-26 00:00:00",157100,1030,"1 Story","Average","Stucco",1,1,4500
"173",5,1,"Forced Air","Y",6,5,1907,2017,1969,2,"2018-03-19 00:00:00",928400,2052,"2 Story","Good Quality","Aluminum",1,1,4500
"174",3,1,"Forced Air","Y",6,4,1901,2012,1982,2,"2013-01-17 00:00:00",784400,1960,"1.5 Story Unfin","Good Quality","Wood Siding",1,0,6896
"175",2,1,"Warm Cool","Y",6,2,1921,2014,1964,1,"2012-08-17 00:00:00",349500,1489,"1 Story","Average","Shingle",1,0,5265
